scenario_key,scenario,method,auprc_mean,auprc_std,auprc_pm,auroc_mean,auroc_std,auroc_pm,f1_mean,f1_std,f1_pm,acc_mean,acc_std,acc_pm,loss_mean,loss_std,loss_pm
S0,Congruent + IID,Centralized,0.849,0.005,0.849 +/- 0.005,0.943,0.002,0.943 +/- 0.002,0.745,0.014,0.745 +/- 0.014,0.892,0.015,0.892 +/- 0.015,0.240,0.012,0.240 +/- 0.012
S0,Congruent + IID,FedAvg,0.803,0.006,0.803 +/- 0.006,0.930,0.001,0.930 +/- 0.001,0.719,0.006,0.719 +/- 0.006,0.884,0.003,0.884 +/- 0.003,0.259,0.002,0.259 +/- 0.002
S0,Congruent + IID,FedGate,0.799,0.004,0.799 +/- 0.004,0.927,0.001,0.927 +/- 0.001,0.707,0.008,0.707 +/- 0.008,0.875,0.004,0.875 +/- 0.004,0.264,0.002,0.264 +/- 0.002
S1,Congruent + non-IID,FedAvg,0.725,0.024,0.725 +/- 0.024,0.898,0.015,0.898 +/- 0.015,0.228,0.323,0.228 +/- 0.323,0.823,0.033,0.823 +/- 0.033,2.100,1.253,2.100 +/- 1.253
S1,Congruent + non-IID,FedGate,0.769,0.021,0.769 +/- 0.021,0.917,0.009,0.917 +/- 0.009,0.685,0.019,0.685 +/- 0.019,0.877,0.010,0.877 +/- 0.010,0.410,0.056,0.410 +/- 0.056
S2,Non-congruent + IID,FedAvg,0.303,0.047,0.303 +/- 0.047,0.633,0.057,0.633 +/- 0.057,0.374,0.032,0.374 +/- 0.032,0.480,0.084,0.480 +/- 0.084,0.651,0.021,0.651 +/- 0.021
S2,Non-congruent + IID,FedGate,0.353,0.054,0.353 +/- 0.054,0.682,0.054,0.682 +/- 0.054,0.393,0.044,0.393 +/- 0.044,0.478,0.075,0.478 +/- 0.075,0.644,0.017,0.644 +/- 0.017
S3,Non-congruent + non-IID,FedAvg,0.262,0.056,0.262 +/- 0.056,0.575,0.104,0.575 +/- 0.104,0.317,0.098,0.317 +/- 0.098,0.570,0.072,0.570 +/- 0.072,0.637,0.039,0.637 +/- 0.039
S3,Non-congruent + non-IID,FedGate,0.334,0.009,0.334 +/- 0.009,0.663,0.022,0.663 +/- 0.022,0.384,0.013,0.384 +/- 0.013,0.551,0.090,0.551 +/- 0.090,0.632,0.005,0.632 +/- 0.005
