method,scenario,seed,round,loss,auroc,auprc,acc,f1,threshold,num_selected_clients,selected_clients,val_loss,val_auroc,val_auprc,val_acc,val_f1,train_loss,train_auroc,train_auprc,train_acc,train_f1,is_personalized
fedgate,FR_S0_congruent_iid,7,1,0.645175626542368,0.6580361083249749,0.35227534997556426,0.648757016840417,0.39669421487603307,0.4599999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.6450520369613971,0.6758,0.3361729176864436,0.664,0.4166666666666667,0.654979690162169,0.5455170827422174,0.24474635857474555,0.7985290840205037,0.02154127129661289,False
fedgate,FR_S0_congruent_iid,7,2,0.6096847795557219,0.6965336008024072,0.41563983031315566,0.7682437850842021,0.41851106639839036,0.42999999999999994,10,"0,1,2,3,4,5,6,7,8,9",0.609552660476468,0.7067874999999999,0.39859216119324126,0.758,0.42105263157894735,0.6186203569911066,0.5845110610993663,0.2671712327954073,0.7996434143080009,0.0,False
fedgate,FR_S0_congruent_iid,7,3,0.575931571870655,0.7339358074222668,0.4637199923746599,0.8051323175621492,0.4611973392461197,0.39499999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.5757723206466648,0.7446125,0.45748983842256025,0.796,0.4574468085106383,0.5856702625419399,0.6065902549159012,0.2879244519152365,0.7996434143080009,0.0,False
fedgate,FR_S0_congruent_iid,7,4,0.5425632282827318,0.7797893681043129,0.5146619717099352,0.7514033680834001,0.4967532467532468,0.3499999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.5424920316982396,0.7731625000000001,0.5045565885854385,0.766,0.5185185185185185,0.5540426169308942,0.6739022161226377,0.3500487479121588,0.7996434143080009,0.0,False
fedgate,FR_S0_congruent_iid,7,5,0.5130519919906236,0.8200682046138416,0.5727690444491272,0.8131515637530072,0.5561904761904762,0.31499999999999995,10,"0,1,2,3,4,5,6,7,8,9",0.5132430497106064,0.80335,0.56554369062527,0.828,0.5656565656565656,0.5244155943074895,0.7170281251813568,0.41035881899281695,0.7996434143080009,0.0,False
fedgate,FR_S0_congruent_iid,7,6,0.4883609291277536,0.8490090270812438,0.6196844402494309,0.846832397754611,0.6045548654244306,0.285,10,"0,1,2,3,4,5,6,7,8,9",0.4890450636399266,0.8282375,0.6129983948685157,0.848,0.6041666666666666,0.4981701303616329,0.7764509832443665,0.511837532407891,0.7996434143080009,0.0,False
fedgate,FR_S0_congruent_iid,7,7,0.4675692107095739,0.8677231695085257,0.6507464609717556,0.8516439454691259,0.6153846153846154,0.25999999999999995,10,"0,1,2,3,4,5,6,7,8,9",0.4689824194894258,0.8454375,0.641274968558717,0.87,0.6486486486486487,0.47480146180077015,0.8225218222444676,0.6122803291360368,0.7996434143080009,0.0,False
fedgate,FR_S0_congruent_iid,7,8,0.45058764494626774,0.8791955867602809,0.6690810915352499,0.8500400962309543,0.6340508806262231,0.24,10,"0,1,2,3,4,5,6,7,8,9",0.4528528724351417,0.8578250000000001,0.6545424886923177,0.866,0.6564102564102564,0.4563639226172585,0.8507492091980124,0.6594549913067637,0.7996434143080009,0.0,False
fedgate,FR_S0_congruent_iid,7,9,0.43478380176126813,0.8862607823470411,0.6820708264912381,0.8540497193263833,0.6431372549019608,0.22999999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.43788790855046333,0.8662375000000001,0.6663620584441943,0.876,0.6770833333333334,0.4409187914721015,0.86131414268193,0.6905372238353451,0.7996434143080009,0.0,False
fedgate,FR_S0_congruent_iid,7,10,0.42070317236087157,0.8905616850551654,0.6919545234552826,0.8524458700882117,0.6434108527131783,0.22999999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.4245417436072425,0.8711375,0.6677021108622996,0.882,0.6910994764397905,0.42576133501816626,0.8738837427615236,0.7073566198886228,0.7996434143080009,0.0,False
fedgate,FR_S0_congruent_iid,7,11,0.40634706443261237,0.8943029087261786,0.7005851114426851,0.8532477947072975,0.6347305389221557,0.22999999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.41091789581327576,0.876425,0.6813132618597498,0.884,0.6947368421052632,0.40997562608601706,0.8833609828877008,0.7190552680096056,0.7996434143080009,0.0,False
fedgate,FR_S0_congruent_iid,7,12,0.3926431839027301,0.8972016048144433,0.7081056560030176,0.8572574178027266,0.6603053435114504,0.22499999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.39791010759405127,0.8800125,0.6888982784741542,0.882,0.694300518134715,0.3954580568336739,0.8897281263315627,0.7339213144555052,0.7996434143080009,0.0,False
fedgate,FR_S0_congruent_iid,7,13,0.3789996197408573,0.9000160481444333,0.7163311159530849,0.8628708901363272,0.6742857142857143,0.22999999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.38487012308030155,0.8833500000000001,0.6960417311994624,0.884,0.6979166666666666,0.38169026602302863,0.8946481231588936,0.7453846505077618,0.8018720748829953,0.02191162713056881,False
fedgate,FR_S0_congruent_iid,7,14,0.36548397968042645,0.902124373119358,0.722736926304574,0.8588612670408982,0.65625,0.24,10,"0,1,2,3,4,5,6,7,8,9",0.37191044848427773,0.886425,0.702602781071818,0.886,0.7015706806282722,0.36709689601744394,0.8981093028861474,0.7546081083346187,0.8139068419879653,0.12901579331827645,False
fedgate,FR_S0_congruent_iid,7,15,0.35359859338499533,0.9043329989969909,0.7293737651982679,0.8644747393744988,0.6718446601941748,0.245,10,"0,1,2,3,4,5,6,7,8,9",0.3603516532000149,0.8895875,0.7108668010230685,0.884,0.6979166666666666,0.35487967283065,0.8989075164980888,0.7583784686197372,0.8277245375529307,0.24919604667153658,False
fedgate,FR_S0_congruent_iid,7,16,0.34209897105600784,0.9057111334002004,0.7336936073115865,0.8652766639935846,0.6731517509727627,0.25499999999999995,10,"0,1,2,3,4,5,6,7,8,9",0.34938653336069503,0.891625,0.7167333782061561,0.882,0.6910994764397905,0.34212465590546426,0.9015766812046132,0.7602649924380648,0.84399375975039,0.38310538438793956,False
fedgate,FR_S0_congruent_iid,7,17,0.3320476906055817,0.9076248746238716,0.7401640546213892,0.8684843624699278,0.6746031746031746,0.26999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.3395942501112542,0.8942125000000001,0.7269462680389778,0.884,0.6914893617021277,0.32949933905593665,0.90743088853464,0.7784293490710977,0.8609315801203477,0.49407848170323665,False
fedgate,FR_S0_congruent_iid,7,18,0.3229803877591683,0.9087923771313943,0.7434777106017011,0.867682437850842,0.6820809248554913,0.26999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.330627625276931,0.8960250000000001,0.7333670098539388,0.88,0.6875,0.3180093428928256,0.9095582198873529,0.7775743674606138,0.869623356362826,0.5526834132679259,False
fedgate,FR_S0_congruent_iid,7,19,0.31520102945724376,0.9105295887662987,0.7478431810456133,0.8660785886126704,0.6794625719769674,0.27499999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.3226287875997517,0.898675,0.7385559929877834,0.88,0.6907216494845361,0.31276658540232516,0.9070274914854018,0.7718710510292626,0.8707376866503231,0.5684173116574202,False
fedgate,FR_S0_congruent_iid,7,20,0.30843443810371673,0.9116429287863591,0.7511927753333889,0.8396150761828388,0.6742671009771987,0.20499999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.3158773259663757,0.9006625,0.7432892779736641,0.858,0.6844444444444444,0.3022458753613944,0.9127784687204272,0.7875074704745834,0.8816581234677958,0.6195449210656809,False
fedgate,FR_S0_congruent_iid,7,21,0.30269465378881044,0.9126700100300902,0.7539662610164031,0.8420208500400962,0.6796747967479675,0.20499999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.3101059136150814,0.901625,0.7452565005423785,0.86,0.6902654867256637,0.2948374794175504,0.9150007636557482,0.7919282514110109,0.8847782482727881,0.6388588113686122,False
fedgate,FR_S0_congruent_iid,7,22,0.2977985627314302,0.9136790371113339,0.7571670801433755,0.8420208500400962,0.6775777414075287,0.20499999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.30487244830990606,0.9031000000000001,0.7501137627263292,0.86,0.6902654867256637,0.28653695597038326,0.9176278283570772,0.7948565727533012,0.8899041675952752,0.663406098938888,False
fedgate,FR_S0_congruent_iid,7,23,0.29405861531682825,0.9144393179538616,0.7592891897453662,0.8508420208500401,0.6858108108108109,0.20999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.30110864565984363,0.9043249999999999,0.7525662116444322,0.86,0.6875,0.2825590753591579,0.9175632891025695,0.7999468565535612,0.8903498997102741,0.6659308541724502,False
fedgate,FR_S0_congruent_iid,7,24,0.29054945958727285,0.9151293881644935,0.7609653898650351,0.863672814755413,0.6718146718146718,0.295,10,"0,1,2,3,4,5,6,7,8,9",0.2971097595250868,0.9057249999999999,0.755358988013833,0.88,0.6907216494845361,0.2775751862916552,0.9193091723497454,0.802551628002446,0.8941386226877647,0.684264349526764,False
fedgate,FR_S0_congruent_iid,7,25,0.2875033396200897,0.9161584754262788,0.7637176850751948,0.8516439454691259,0.6901172529313233,0.20999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.2938369579736218,0.9066000000000001,0.7597635503447093,0.862,0.6933333333333334,0.2741865324232572,0.9198405680679612,0.8049125676096367,0.8968130153777579,0.6938156654679009,False
fedgate,FR_S0_congruent_iid,7,26,0.28495677158270305,0.916974924774323,0.7653807821577672,0.8500400962309543,0.6878130217028381,0.20999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.2906655972488801,0.9078499999999999,0.7635719945895488,0.862,0.6933333333333334,0.26852921502453386,0.9228625232992506,0.8091908870281999,0.8952529529752619,0.6897406357107917,False
fedgate,FR_S0_congruent_iid,7,27,0.2829885862123246,0.9173781344032095,0.7665573282531944,0.8500400962309543,0.6878130217028381,0.20999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.2880958686363622,0.9087,0.7662282649684014,0.862,0.6960352422907489,0.2638324891483353,0.9247394078733401,0.8105180279318472,0.8979273456652552,0.7020933639019504,False
fedgate,FR_S0_congruent_iid,7,28,0.28112887094697475,0.9181123370110331,0.7684538546598457,0.8508420208500401,0.6889632107023411,0.20999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.2855440826642204,0.9101125,0.7685315650425,0.862,0.6960352422907489,0.2615632767198972,0.9260560970424352,0.81413283531877,0.8974816135502562,0.7045190240474126,False
fedgate,FR_S0_congruent_iid,7,29,0.2797118589442288,0.9182888665997992,0.7689577496625086,0.8516439454691259,0.6890756302521008,0.20999999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.2834770774957063,0.9111375,0.769897921144793,0.86,0.6929824561403509,0.25729971730482587,0.9282636997651915,0.8200959926901954,0.8994874080677513,0.7113697957543235,False
fedgate,FR_S0_congruent_iid,7,30,0.27833650954307376,0.9189307923771315,0.7706776409402132,0.8604651162790697,0.698961937716263,0.235,10,"0,1,2,3,4,5,6,7,8,9",0.2811637129835039,0.912725,0.7747468415990677,0.866,0.6968325791855203,0.2529278958591682,0.9304306198045056,0.8271932522671788,0.8965901493202585,0.7036851615479905,False
fedgate,FR_S0_congruent_iid,7,31,0.2771823098125145,0.9195245737211635,0.7722922899144697,0.8580593424218124,0.6953528399311532,0.22499999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.2792695305536729,0.9141750000000001,0.7784994237104347,0.87,0.7085201793721974,0.2535051786686776,0.9296558481550149,0.8249294363010048,0.8981502117227547,0.7075183649493357,False
fedgate,FR_S0_congruent_iid,7,32,0.2761749351270665,0.9200220661985958,0.7734156545159914,0.8588612670408982,0.6955017301038062,0.22999999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.2772507667668817,0.9155625,0.7825079725657414,0.87,0.7085201793721974,0.2492147730026209,0.9312532741779314,0.8297104004198165,0.9019389347002451,0.7213122308140858,False
fedgate,FR_S0_congruent_iid,7,33,0.2752831304012588,0.9205295887662989,0.7743315581645142,0.8612670408981555,0.6991304347826087,0.22999999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.27591533635276444,0.9167624999999999,0.7853390663214599,0.876,0.7155963302752294,0.24739791445620068,0.9322415855985512,0.8287592240696107,0.9032761310452418,0.7268445905002342,False
fedgate,FR_S0_congruent_iid,7,34,0.27472603190656764,0.920852557673019,0.7752343157628238,0.859663191659984,0.6945898778359512,0.22499999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.275157207535629,0.91755,0.7871592306466155,0.878,0.7188940092165899,0.24527045250748863,0.9330323466869088,0.8334501993408076,0.9030532649877424,0.7262453945084665,False
fedgate,FR_S0_congruent_iid,7,35,0.2738407895647039,0.9211173520561684,0.7758083867340181,0.8604651162790697,0.6936619718309859,0.235,10,"0,1,2,3,4,5,6,7,8,9",0.27320264922794735,0.9184125,0.7884462967334704,0.882,0.7230046948356808,0.2430203601976154,0.9343000597186626,0.8352039647477313,0.9037218631602407,0.7283194041622361,False
fedgate,FR_S0_congruent_iid,7,36,0.2730332265720929,0.9215105315947842,0.7763676495329702,0.8572574178027266,0.6920415224913494,0.21999999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.27133605829587565,0.9197,0.7905806227340334,0.878,0.7288888888888889,0.24333030566866218,0.9337746557671973,0.8338880490211416,0.902830398930243,0.7276442464783762,False
fedgate,FR_S0_congruent_iid,7,37,0.2727442053913431,0.9217452357071214,0.7772290496936901,0.8612670408981555,0.6938053097345133,0.22999999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.2705753726817043,0.9206624999999999,0.7923521175602934,0.888,0.7358490566037735,0.23986120921824686,0.9358141938834266,0.8348790205514388,0.9032761310452418,0.728796776857762,False
fedgate,FR_S0_congruent_iid,7,38,0.27187750014444306,0.9221123370110331,0.7779845109085445,0.8572574178027266,0.6909722222222222,0.22499999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.2688970687917753,0.9215000000000001,0.795343231301205,0.884,0.7363636363636363,0.2390179805713306,0.9366355055485746,0.840083960554711,0.9046133273902385,0.7304946231400143,False
fedgate,FR_S0_congruent_iid,7,39,0.27150940761249204,0.92239518555667,0.7780601403900947,0.8564554931836408,0.6865148861646234,0.22499999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.2680468456010078,0.922075,0.7961112861762645,0.89,0.7465437788018433,0.23634481517467684,0.938143923017394,0.8438021630584979,0.9059505237352351,0.734550966782551,False
fedgate,FR_S0_congruent_iid,7,40,0.27099747489644055,0.9224373119358075,0.7783712718970777,0.8564554931836408,0.6854130052724078,0.235,10,"0,1,2,3,4,5,6,7,8,9",0.26651303072697224,0.9224875,0.7962892647950838,0.89,0.7465437788018433,0.23156897501813686,0.940228574073659,0.8481544165444489,0.9070648540227323,0.743922680375963,False
fedgate,FR_S0_congruent_iid,7,41,0.27062666950793074,0.9228986960882648,0.7794119146873956,0.8580593424218124,0.6889279437609842,0.235,10,"0,1,2,3,4,5,6,7,8,9",0.26549678864007686,0.9235749999999999,0.7987791980137575,0.892,0.75,0.2320940854482009,0.9396837229062323,0.8473163545640449,0.9068419879652329,0.7417192501307227,False
fedgate,FR_S0_congruent_iid,7,42,0.2702541528565487,0.9232056168505517,0.7802963271082938,0.859663191659984,0.6924428822495606,0.22999999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.2646944107147152,0.924325,0.8006073506777202,0.892,0.75,0.23338084846723792,0.9385612588994654,0.8432552609273134,0.9068419879652329,0.7414841269720993,False
fedgate,FR_S0_congruent_iid,7,43,0.26987790944762696,0.923295887662989,0.7802555208236214,0.8604651162790697,0.6925795053003534,0.24,10,"0,1,2,3,4,5,6,7,8,9",0.2635136289012451,0.9248999999999999,0.8010691191743966,0.888,0.7383177570093458,0.2299977368707344,0.9401459714489612,0.8501694531468538,0.9106307109427234,0.7534726600825663,False
fedgate,FR_S0_congruent_iid,7,44,0.2697707636199023,0.9234744232698093,0.7814603919026956,0.8628708901363272,0.6951871657754011,0.24,10,"0,1,2,3,4,5,6,7,8,9",0.2630854762763022,0.9254875,0.8019697437977904,0.892,0.7452830188679245,0.22596527774473069,0.9425043175648288,0.851367243969944,0.910407844885224,0.7505191817512786,False
