method,scenario,seed,round,loss,auroc,auprc,acc,f1,threshold,num_selected_clients,selected_clients,val_loss,val_auroc,val_auprc,val_acc,val_f1,train_loss,train_auroc,train_auprc,train_acc,train_f1,is_personalized,variant
ditto_concat_personal,FR_S0_congruent_iid,7,1,0.5941816052457817,0.5955125376128385,0.3255214386337892,0.2774659182036889,0.3437727603787327,0.39499999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.5939450780400395,0.57815,0.3489358099010523,0.278,0.3448275862068966,12.121219060297184,0.5218694018015388,0.2159411102630943,0.7985290840205037,0.006573909806436623,True,personal
ditto_concat_personal,FR_S0_congruent_iid,7,2,0.5412537153372999,0.7395386158475425,0.5237297679143997,0.8211708099438653,0.514161220043573,0.3499999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.5409319914220098,0.7372124999999999,0.5255413790563405,0.812,0.4835164835164835,13.44399960013947,0.6008661734229687,0.2995686609807806,0.7996434143080009,0.0,True,personal
ditto_concat_personal,FR_S0_congruent_iid,7,3,0.4984960916749178,0.8190952858575727,0.5944578560832052,0.8163592622293504,0.550098231827112,0.285,10,"0,1,2,3,4,5,6,7,8,9",0.4980805923905185,0.811475,0.5981256953799592,0.814,0.5326633165829145,15.569070977996764,0.6746801702887736,0.3710391042461529,0.7996434143080009,0.0,True,personal
ditto_concat_personal,FR_S0_congruent_iid,7,4,0.4712457900719663,0.855616850551655,0.6350982956032537,0.8331996792301524,0.5873015873015873,0.245,10,"0,1,2,3,4,5,6,7,8,9",0.47109101412374754,0.8431375,0.6379160308098482,0.832,0.5882352941176471,17.958443761748622,0.7827771440718423,0.5477590692170587,0.7996434143080009,0.0,True,personal
ditto_concat_personal,FR_S0_congruent_iid,7,5,0.4527667537989393,0.8736489468405215,0.6660606670804103,0.8267842822774659,0.6183745583038869,0.22499999999999998,10,"0,1,2,3,4,5,6,7,8,9",0.45356457039850046,0.8598125000000001,0.6596981914262547,0.83,0.6153846153846154,20.595007835848975,0.829470095880112,0.6280412829823041,0.7996434143080009,0.0,True,personal
ditto_concat_personal,FR_S0_congruent_iid,7,6,0.43559822763258793,0.8834924774322968,0.6829807982031807,0.8604651162790697,0.6491935483870968,0.24,10,"0,1,2,3,4,5,6,7,8,9",0.4377439367028914,0.86815,0.6744504098154116,0.868,0.6526315789473685,23.49327879630034,0.8684706808253257,0.691780561611734,0.7996434143080009,0.0,True,personal
ditto_concat_personal,FR_S0_congruent_iid,7,7,0.4177257739407248,0.8891935807422267,0.6937642742765029,0.8660785886126704,0.6570841889117043,0.24,10,"0,1,2,3,4,5,6,7,8,9",0.42082202049890716,0.8742125000000001,0.6854741219621435,0.87,0.6524064171122995,26.634725942626574,0.8801443137658035,0.7134058913376217,0.7996434143080009,0.0,True,personal
ditto_concat_personal,FR_S0_congruent_iid,7,8,0.3998327013555161,0.8940140421263791,0.7050124087733581,0.863672814755413,0.6336206896551724,0.25999999999999995,10,"0,1,2,3,4,5,6,7,8,9",0.40383317379461675,0.8788624999999999,0.693291135822924,0.878,0.659217877094972,30.004584971530576,0.8787606040165109,0.7202275486649982,0.7998662803655003,0.0021992716443351612,True,personal
ditto_concat_personal,FR_S0_congruent_iid,7,9,0.38390285460716866,0.8983971915747242,0.7148081133903869,0.863672814755413,0.6458333333333334,0.25499999999999995,10,"0,1,2,3,4,5,6,7,8,9",0.3885426209111016,0.8840875,0.7049052570158456,0.876,0.6630434782608695,33.618694568546466,0.8913424195495784,0.7370832757825495,0.8047693336304881,0.047669734392679276,True,personal
ditto_concat_personal,FR_S0_congruent_iid,7,10,0.36788135300346875,0.9016509528585757,0.7226846349282162,0.8668805132317562,0.6452991452991453,0.27499999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.3733014306938406,0.8878125,0.7129654728648885,0.882,0.6703910614525139,37.493408936818724,0.898491662470261,0.7540074899499067,0.8176955649654558,0.16317966620862343,True,personal
