method,scenario,seed,round,loss,auroc,auprc,acc,f1,threshold,num_selected_clients,selected_clients,val_loss,val_auroc,val_auprc,val_acc,val_f1,train_loss,train_auroc,train_auprc,train_acc,train_f1,is_personalized,variant
ditto_concat_global,FR_S1_congruent_non_iid,7,1,0.6252474682084446,0.4424974924774323,0.18323943441814772,0.20048115477145148,0.33400133600534404,0.4099999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.6245892151953683,0.4918187848561531,0.21653023174503747,0.2003968253968254,0.3338842975206612,0.628826082297901,nan,nan,0.8061565915681463,0.02614572460427955,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,2,0.5856305113198189,0.5166559679037112,0.2276795475810919,0.619887730553328,0.286144578313253,0.39499999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.5847594397408622,0.5637176620887896,0.2804268461689507,0.6507936507936508,0.35766423357664234,0.5851393459153287,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,3,0.555080634599317,0.5874663991975928,0.3121824208921319,0.7297514033680834,0.30515463917525776,0.35999999999999993,10,"0,1,2,3,4,5,6,7,8,9",0.5542767270216866,0.620224553472717,0.3491266617539004,0.7400793650793651,0.3791469194312796,0.5479419656212564,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,4,0.5308631386580999,0.6266138415245738,0.3789765245381323,0.7786688051323175,0.3640552995391705,0.32499999999999996,10,"0,1,2,3,4,5,6,7,8,9",0.5299401642784239,0.6568434759108666,0.392691153713743,0.7837301587301587,0.42328042328042326,0.5178863632274796,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,5,0.5128511547468716,0.6501825476429288,0.428153680932454,0.7931034482758621,0.42410714285714285,0.29,10,"0,1,2,3,4,5,6,7,8,9",0.5115792325564793,0.6876151635014618,0.444440040946272,0.8055555555555556,0.4731182795698925,0.49329890273203947,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,6,0.499949880691175,0.6633841524573721,0.4341602586985511,0.8115477145148356,0.4139650872817955,0.25499999999999995,10,"0,1,2,3,4,5,6,7,8,9",0.498413076949498,0.6984497457189889,0.4631053354962604,0.8293650793650794,0.4819277108433735,0.477293560434712,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,7,0.49440219171446803,0.6617632898696088,0.4159888994220531,0.7690457097032879,0.4122448979591837,0.21499999999999997,10,"0,1,2,3,4,5,6,7,8,9",0.49265834878361414,0.6969019482593422,0.4656305746327726,0.7738095238095238,0.43564356435643564,0.46812568049185677,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,8,0.4971039843444549,0.6513660982948847,0.386810858049956,0.7522052927024859,0.36809815950920244,0.18,10,"0,1,2,3,4,5,6,7,8,9",0.49500868954355753,0.6917917598211434,0.4440799811810183,0.7757936507936508,0.4263959390862944,0.4644942309224603,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,9,0.5078265898784066,0.6407101303911735,0.3603349484275762,0.6904570970328789,0.3814102564102564,0.145,10,"0,1,2,3,4,5,6,7,8,9",0.5053071483733163,0.681362553128762,0.4190129041465181,0.7083333333333334,0.4235294117647059,0.46873578451824804,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,10,0.5267058951479966,0.6290752256770311,0.34035326496760343,0.6367281475541299,0.3628691983122363,0.11499999999999999,10,"0,1,2,3,4,5,6,7,8,9",0.5235150030681065,0.6732304744122055,0.39674068160345044,0.6587301587301587,0.410958904109589,0.4799728977319228,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,11,0.5527347670666389,0.622567703109328,0.33034722729806043,0.6126704089815558,0.36530880420499345,0.09,10,"0,1,2,3,4,5,6,7,8,9",0.5495973603119926,0.666425079232489,0.381763732998797,0.6309523809523809,0.40764331210191085,0.49807794126859606,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,12,0.5853356619357298,0.6271855566700101,0.33050423313835037,0.6190858059342422,0.36750998668442075,0.07,10,"0,1,2,3,4,5,6,7,8,9",0.5815565382677411,0.6721126206913496,0.3821491453158907,0.6428571428571429,0.4155844155844156,0.5248916663101494,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,13,0.6246910570809243,0.6326980942828485,0.333284532415407,0.6680032076984763,0.36890243902439024,0.055,10,"0,1,2,3,4,5,6,7,8,9",0.6210419128811548,0.67348844065548,0.3788155553096738,0.6884920634920635,0.4163568773234201,0.553809438062823,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,14,0.6689438540742411,0.6416469408224674,0.3377121211796024,0.8011226944667201,0.2392638036809816,0.05,10,"0,1,2,3,4,5,6,7,8,9",0.6653607043008956,0.6799744490578091,0.3810083283122442,0.8015873015873016,0.21875,0.5947789926561372,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,15,0.7198679141503099,0.6495947843530592,0.342131612904372,0.7995188452285485,0.0,0.49999999999999994,10,"0,1,2,3,4,5,6,7,8,9",0.7160981141385578,0.6847283983981525,0.38566026625221417,0.7996031746031746,0.0,0.6372800537642859,nan,nan,0.7996877091233549,0.0,False,global
ditto_concat_global,FR_S1_congruent_non_iid,7,16,0.77565283336062,0.6571193580742226,0.3473016311466796,0.7995188452285485,0.0,0.49999999999999994,10,"0,1,2,3,4,5,6,7,8,9",0.7717960883700659,0.6880082549197848,0.3865185534675001,0.7996031746031746,0.0,0.6880809838251825,nan,nan,0.7996877091233549,0.0,False,global
